"CO_MUNICIPIO_RESIDENCIA","MUNICIPIO","MEDIA_FINAL","MEDIA_CN","MEDIA_CH","MEDIA_LC","MEDIA_MT","MEDIA_REDACAO"
1300680,"BOA VISTA DO RAMOS",2315.28762886598,441.048109965636,487.503780068728,470.858762886598,430.447422680412,485.429553264605
1300706,"BOCA DO ACRE",2403.71294117647,452.016974789916,498.306890756303,491.587899159664,451.515462184874,510.285714285714
1300805,"BORBA",2343.6498245614,441.248421052632,489.000701754386,485.284210526316,435.625263157895,492.491228070175
1300839,"CAAPIRANGA",2289.74618834081,435.605829596412,483.690582959641,474.610313901345,429.651121076233,466.188340807175
1300904,"CANUTAMA",2309.35757575758,442.092929292929,483.776767676768,469.025252525252,435.472727272727,478.989898989899
1301001,"CARAUARI",2346.62458333333,439.8225,484.885833333333,475.71625,435.116666666667,511.083333333333
1301100,"CAREIRO",2356.02121212121,444.696666666667,495.048787878788,485.213939393939,450.455757575757,480.606060606061
1301159,"CAREIRO DA VÁRZEA",2368.8246835443,443.23417721519,495.399367088607,481.572784810127,445.706962025317,502.911392405063
1301209,"COARI",2365.1367201426,447.748484848485,495.325727866904,483.950505050505,437.779857397505,500.332144979204
1301308,"CODAJÁS",2414.6858490566,445.508962264151,504.683962264151,487.431132075472,453.382547169811,523.679245283019
1301407,"EIRUNEPÉ",2371.55555555556,444.685396825397,497.217142857143,489.166984126984,444.232063492064,496.253968253968
1301506,"ENVIRA",2397.95766423358,436.614598540146,497.61897810219,490.744525547445,439.986861313869,532.992700729927
1301605,"FONTE BOA",2336.1,444.286995515695,480.054708520179,478.806726457399,428.467264573991,504.484304932735
1301654,"GUAJARÁ",2344.81268882175,438.295468277946,484.1416918429,475.142900302115,439.135951661631,508.09667673716
1301704,"HUMAITÁ",2399.30643738977,451.105379188713,502.474514991182,491.471781305115,451.133068783069,503.121693121693
1301803,"IPIXUNA",2337.998125,438.31875,486.576875,474.319375,433.533125,505.25
1301852,"IRANDUBA",2408.90553047404,449.889164785553,503.504176072234,491.204627539503,449.770316027088,514.537246049661
1301902,"ITACOATIARA",2418.32120481928,452.963166953529,505.727986230637,492.891462994836,446.249776247849,520.488812392427
1301951,"ITAMARATI",2294.41034482759,436.520689655173,474.750574712644,466.472413793103,428.850574712644,487.816091954023
1302009,"ITAPIRANGA",2380.09530201342,447.038926174497,498.270469798658,489.210067114094,430.676510067114,514.89932885906
1302108,"JAPURÁ",2278.41923076923,436.472115384615,473.578846153846,473.074038461539,443.371153846154,451.923076923077
1302207,"JURUÁ",2444.442,448.806,516.798,503.766,441.472,533.6
1302306,"JUTAÍ",2301.77010309278,442.445360824742,487.396907216495,474.859793814433,428.20206185567,468.865979381443
1302405,"LÁBREA",2335.11698113208,443.129811320755,485.73358490566,476.914905660377,440.244339622642,489.094339622641
1302504,"MANACAPURU",2380.79135987979,445.174154770849,501.428024042074,491.918782870023,445.989406461307,496.280991735537
1302553,"MANAQUIRI",2353.26111111111,443.572222222222,491.896031746032,478.669841269841,442.138888888889,496.984126984127
1302603,"MANAUS",2495.12995007519,464.314931729323,524.675661954887,510.614667067669,467.241501353383,528.283187969925
1302702,"MANICORÉ",2359.66903553299,442.524111675127,493.509137055838,483.506345177665,441.753807106599,498.375634517767
1302801,"MARAÃ",2287.89145299145,447.141025641026,479.290598290598,480.845299145299,432.238461538462,448.376068376068
1302900,"MAUÉS",2447.01083202512,457.926687598116,510.781789638932,498.802668759812,453.462009419152,526.037676609105
1303007,"NHAMUNDÁ",2333.93985765125,443.2128113879,486.317793594306,468.676868327402,434.878291814947,500.85409252669
1303106,"NOVA OLINDA DO NORTE",2308.43192982456,435.945263157895,482.51298245614,474.618947368421,430.326666666667,485.028070175439
1303205,"NOVO AIRÃO",2423.4404109589,452.948630136986,498.663698630137,493.077397260274,455.87397260274,522.876712328767
1303304,"NOVO ARIPUANÃ",2296.49644268775,437.450197628458,477.158893280632,470.162845849803,427.376679841897,484.347826086957
1303403,"PARINTINS",2410.65072390145,453.430683261366,503.825120650241,489.41778003556,446.769875539751,517.207264414529
1303502,"PAUINI",2328.41891891892,444.095945945946,484.920945945946,480.475,434.062162162162,484.864864864865
1303536,"PRESIDENTE FIGUEIREDO",2428.08285714286,453.698095238095,505.111156462585,498.979183673469,454.24,516.054421768707
1303569,"RIO PRETO DA EVA",2398.5,454.553532608696,504.454076086956,491.601902173913,451.477445652174,496.413043478261
1303601,"SANTA ISABEL DO RIO NEGRO",2321.20298507463,437.014925373134,488.174626865672,474.776119402985,436.908955223881,484.328358208955
1303700,"SANTO ANTÔNIO DO IÇÁ",2253.48918918919,434.259797297297,466.375337837838,461.039189189189,427.355405405405,464.459459459459
1303809,"SÃO GABRIEL DA CACHOEIRA",2405.27541729894,446.939301972686,506.399393019727,493.013353566009,445.721547799697,513.201820940819
1303908,"SÃO PAULO DE OLIVENÇA",2328.52871287129,441.343894389439,482.303300330033,475.847854785479,426.327392739274,502.706270627063
1303957,"SÃO SEBASTIÃO DO UATUMÃ",2286.86402877698,435.779136690647,478.041007194245,467.414388489209,431.097122302158,474.532374100719
1304005,"SILVES",2349.78156028369,442.087234042553,485.315602836879,482.562411347518,445.064539007092,494.751773049645
